Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
IT 106,Information Management,"13:00-14:30
13:00-14:30",WTH,"LEC-004 (Non-lab)
LEC-004 (Non-lab)",3,0,3,3,3.0,TBA,IT-2A
IT 107,Introduction to Human Computer Interaction,10:00-12:00,TH,LEC-005 (Non-lab),2,1,3,5,4.25,TBA,IT-2A
IT 107,Introduction to Human Computer Interaction,"08:00-09:30
08:00-09:30",MW,"LAB-006 (Lab)
LAB-006 (Lab)",2,1,3,5,4.25,TBA,IT-2A
IT 108,Operating Systems,10:00-12:00,W,LEC-005 (Non-lab),2,1,3,5,4.25,TBA,IT-2A
IT 108,Operating Systems,"09:30-11:00
09:30-11:00",MT,"LAB-003 (Lab)
LAB-003 (Lab)",2,1,3,5,4.25,TBA,IT-2A
PathFit 3,"Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities",10:00-12:00,F,LEC-002 (Non-lab),2,0,2,2,2.0,TBA,IT-2A
GE Elec 2,Etika,"08:00-09:30
08:00-09:30",MT,"LEC-010 (Non-lab)
LEC-010 (Non-lab)",3,0,3,3,3.0,TBA,IT-2B
GE Elec 3,The Entrepreneurial Mind,"13:00-14:30
13:00-14:30",WTH,"LEC-002 (Non-lab)
LEC-002 (Non-lab)",3,0,3,3,3.0,TBA,IT-2B
GEC 6,"Science, Technology and Society","13:00-14:30
13:00-14:30",MT,"LEC-002 (Non-lab)
LEC-002 (Non-lab)",3,0,3,3,3.0,TBA,IT-2B
IT 105,Applications Development and Emerging Technologies,10:00-12:00,W,LEC-011 (Non-lab),2,1,3,5,4.25,TBA,IT-2B
IT 105,Applications Development and Emerging Technologies,"14:30-16:00
14:30-16:00",TW,"LAB-006 (Lab)
LAB-006 (Lab)",2,1,3,5,4.25,TBA,IT-2B
IT 106,Information Management,"09:30-11:00
09:30-11:00",TTH,"LEC-010 (Non-lab)
LEC-010 (Non-lab)",3,0,3,3,3.0,TBA,IT-2B
IT 107,Introduction to Human Computer Interaction,15:00-17:00,M,LEC-002 (Non-lab),2,1,3,5,4.25,TBA,IT-2B
IT 107,Introduction to Human Computer Interaction,"14:30-16:00
14:30-16:00",THF,"LAB-006 (Lab)
LAB-006 (Lab)",2,1,3,5,4.25,TBA,IT-2B
IT 108,Operating Systems,10:00-12:00,F,LEC-005 (Non-lab),2,1,3,5,4.25,TBA,IT-2B
IT 108,Operating Systems,"08:00-09:30
08:00-09:30",WTH,"LAB-002 (Lab)
LAB-002 (Lab)",2,1,3,5,4.25,TBA,IT-2B
PathFit 3,"Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities",08:00-10:00,F,LEC-010 (Non-lab),2,0,2,2,2.0,TBA,IT-2B
GE Elec 2,Etika,"09:30-11:00
09:30-11:00",THF,"LEC-011 (Non-lab)
LEC-011 (Non-lab)",3,0,3,3,3.0,TBA,IT-2C
GE Elec 3,The Entrepreneurial Mind,"14:30-16:00
14:30-16:00",WF,"LEC-002 (Non-lab)
LEC-002 (Non-lab)",3,0,3,3,3.0,TBA,IT-2C
GEC 6,"Science, Technology and Society","13:00-14:30
13:00-14:30",TW,"LEC-011 (Non-lab)
LEC-011 (Non-lab)",3,0,3,3,3.0,TBA,IT-2C
IT 105,Applications Development and Emerging Technologies,11:00-14:00,F,LEC-011 (Non-lab),2,1,3,5,4.25,TBA,IT-2C
IT 105,Applications Development and Emerging Technologies,"08:00-09:30
08:00-09:30",THF,"LAB-005 (Lab)
LAB-005 (Lab)",2,1,3,5,4.25,TBA,IT-2C
IT 106,Information Management,"14:30-16:00
14:30-16:00",MT,"LEC-008 (Non-lab)
LEC-008 (Non-lab)",3,0,3,3,3.0,TBA,IT-2C
IT 107,Introduction to Human Computer Interaction,10:00-12:00,W,LEC-009 (Non-lab),2,1,3,5,4.25,TBA,IT-2C
IT 107,Introduction to Human Computer Interaction,"13:00-14:30
13:00-14:30",MTH,"LAB-006 (Lab)
LAB-006 (Lab)",2,1,3,5,4.25,TBA,IT-2C
IT 108,Operating Systems,08:00-10:00,W,LEC-003 (Non-lab),2,1,3,5,4.25,TBA,IT-2C
IT 108,Operating Systems,"09:30-11:00
09:30-11:00",MT,"LAB-005 (Lab)
LAB-005 (Lab)",2,1,3,5,4.25,TBA,IT-2C
PathFit 3,"Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities",15:00-17:00,TH,LEC-008 (Non-lab),2,0,2,2,2.0,TBA,IT-2C
GEC 9,Ang Buhay at mga Akda ni Rizal,"11:00-12:00
11:00-12:00
11:00-12:00",MWF,"LEC-001 (Non-lab)
LEC-001 (Non-lab)
LEC-001 (Non-lab)",3,0,3,3,3.0,TBA,IT-3A
IT 114,Quantitative Methods (Modeling and Simulation),15:00-17:00,F,LEC-001 (Non-lab),2,1,3,5,4.25,TBA,IT-3A
IT 114,Quantitative Methods (Modeling and Simulation),"14:30-16:00
14:30-16:00",WTH,"LAB-001 (Lab)
LAB-001 (Lab)",2,1,3,5,4.25,TBA,IT-3A
IT 115,Networking 1,13:00-15:00,F,LEC-006 (Non-lab),2,1,3,5,4.25,TBA,IT-3A
IT 115,Networking 1,"09:30-11:00
09:30-11:00",THF,"LAB-003 (Lab)
LAB-003 (Lab)",2,1,3,5,4.25,TBA,IT-3A
IT 116,Systems Analysis and Design,15:00-17:00,T,LEC-009 (Non-lab),2,1,3,5,4.25,TBA,IT-3A
IT 116,Systems Analysis and Design,"09:30-11:00
09:30-11:00",MT,"LAB-002 (Lab)
LAB-002 (Lab)",2,1,3,5,4.25,TBA,IT-3A
IT 117,Systems Administration and Maintenance,15:00-17:00,M,LEC-006 (Non-lab),2,1,3,5,4.25,TBA,IT-3A
IT 117,Systems Administration and Maintenance,"13:00-14:30
13:00-14:30",TTH,"LAB-002 (Lab)
LAB-002 (Lab)",2,1,3,5,4.25,TBA,IT-3A
IT 118,Internet of Things,"13:00-14:30
13:00-14:30",MW,"LEC-001 (Non-lab)
LEC-001 (Non-lab)",3,0,3,3,3.0,TBA,IT-3A
IT 119,Data Scalability and Analytics,"08:00-09:30
08:00-09:30",TW,"LEC-002 (Non-lab)
LEC-002 (Non-lab)",3,0,3,3,3.0,TBA,IT-3A
GEC 9,Ang Buhay at mga Akda ni Rizal,"09:30-11:00
09:30-11:00",TTH,"LEC-003 (Non-lab)
LEC-003 (Non-lab)",3,0,3,3,3.0,TBA,IT-3B
IT 114,Quantitative Methods (Modeling and Simulation),11:00-14:00,T,LEC-004 (Non-lab),2,1,3,5,4.25,TBA,IT-3B
IT 114,Quantitative Methods (Modeling and Simulation),"14:30-16:00
14:30-16:00",MF,"LAB-001 (Lab)
LAB-001 (Lab)",2,1,3,5,4.25,TBA,IT-3B
IT 115,Networking 1,08:00-10:00,M,LEC-005 (Non-lab),2,1,3,5,4.25,TBA,IT-3B
IT 115,Networking 1,"13:00-14:30
13:00-14:30",WTH,"LAB-005 (Lab)
LAB-005 (Lab)",2,1,3,5,4.25,TBA,IT-3B
IT 116,Systems Analysis and Design,15:00-17:00,TH,LEC-004 (Non-lab),2,1,3,5,4.25,TBA,IT-3B
IT 116,Systems Analysis and Design,"14:30-16:00
14:30-16:00",TW,"LAB-005 (Lab)
LAB-005 (Lab)",2,1,3,5,4.25,TBA,IT-3B
IT 117,Systems Administration and Maintenance,10:00-12:00,M,LEC-010 (Non-lab),2,1,3,5,4.25,TBA,IT-3B
IT 117,Systems Administration and Maintenance,"09:30-11:00
09:30-11:00",WF,"LAB-002 (Lab)
LAB-002 (Lab)",2,1,3,5,4.25,TBA,IT-3B
IT 118,Internet of Things,"08:00-09:30
08:00-09:30",TF,"LEC-009 (Non-lab)
LEC-009 (Non-lab)",3,0,3,3,3.0,TBA,IT-3B
IT 119,Data Scalability and Analytics,"08:00-09:30
08:00-09:30",WTH,"LEC-009 (Non-lab)
LEC-009 (Non-lab)",3,0,3,3,3.0,TBA,IT-3B
GEC 9,Ang Buhay at mga Akda ni Rizal,"08:00-09:30
08:00-09:30",TW,"LEC-008 (Non-lab)
LEC-008 (Non-lab)",3,0,3,3,3.0,TBA,IT-3C
IT 114,Quantitative Methods (Modeling and Simulation),10:00-12:00,T,LEC-005 (Non-lab),2,1,3,5,4.25,TBA,IT-3C
IT 114,Quantitative Methods (Modeling and Simulation),"13:00-14:30
13:00-14:30",TF,"LAB-006 (Lab)
LAB-006 (Lab)",2,1,3,5,4.25,TBA,IT-3C
IT 115,Networking 1,11:00-14:00,M,LEC-005 (Non-lab),2,1,3,5,4.25,TBA,IT-3C
IT 115,Networking 1,"09:30-11:00
09:30-11:00",MTH,"LAB-006 (Lab)
LAB-006 (Lab)",2,1,3,5,4.25,TBA,IT-3C
IT 116,Systems Analysis and Design,10:00-12:00,W,LEC-007 (Non-lab),2,1,3,5,4.25,TBA,IT-3C
IT 116,Systems Analysis and Design,"08:00-09:30
08:00-09:30",MF,"LAB-003 (Lab)
LAB-003 (Lab)",2,1,3,5,4.25,TBA,IT-3C
IT 117,Systems Administration and Maintenance,15:00-17:00,TH,LEC-009 (Non-lab),2,1,3,5,4.25,TBA,IT-3C
IT 117,Systems Administration and Maintenance,"13:00-14:30
13:00-14:30",WTH,"LAB-001 (Lab)
LAB-001 (Lab)",2,1,3,5,4.25,TBA,IT-3C
IT 118,Internet of Things,"14:30-16:00
14:30-16:00",TW,"LEC-006 (Non-lab)
LEC-006 (Non-lab)",3,0,3,3,3.0,TBA,IT-3C
IT 119,Data Scalability and Analytics,"14:30-16:00
14:30-16:00",MF,"LEC-011 (Non-lab)
LEC-011 (Non-lab)",3,0,3,3,3.0,TBA,IT-3C
IT 124,Social and Professional Issues in Computing,"08:00-09:30
08:00-09:30",MW,"LEC-004 (Non-lab)
LEC-004 (Non-lab)",3,0,3,3,3.0,TBA,IT-4A
IT 125,Capstone Project and Research 2,15:00-17:00,F,LEC-003 (Non-lab),2,1,3,5,4.25,TBA,IT-4A
IT 125,Capstone Project and Research 2,"09:30-11:00
09:30-11:00",TF,"LAB-006 (Lab)
LAB-006 (Lab)",2,1,3,5,4.25,TBA,IT-4A
IT 126,Cyber Security Principle,"09:30-11:00
09:30-11:00",WTH,"LEC-008 (Non-lab)
LEC-008 (Non-lab)",3,0,3,3,3.0,TBA,IT-4A
IT 127,Global Professional Practice,"08:00-09:30
08:00-09:30",TTH,"LEC-005 (Non-lab)
LEC-005 (Non-lab)",3,0,3,3,3.0,TBA,IT-4A
ITELECT 003,IT Elective 3*,14:00-16:00,W,LEC-003 (Non-lab),2,1,3,5,4.25,TBA,IT-4A
ITELECT 003,IT Elective 3*,"14:30-16:00
14:30-16:00",MTH,"LAB-005 (Lab)
LAB-005 (Lab)",2,1,3,5,4.25,TBA,IT-4A
ITELECT 004,IT Elective 4*,"13:00-14:30
13:00-14:30",MT,"LEC-003 (Non-lab)
LEC-003 (Non-lab)",3,0,3,3,3.0,TBA,IT-4A
IT 124,Social and Professional Issues in Computing,"08:00-09:30
08:00-09:30",THF,"LEC-004 (Non-lab)
LEC-004 (Non-lab)",3,0,3,3,3.0,TBA,IT-4B
IT 125,Capstone Project and Research 2,10:00-12:00,M,LEC-002 (Non-lab),2,1,3,5,4.25,TBA,IT-4B
IT 125,Capstone Project and Research 2,"08:00-09:30
08:00-09:30",TW,"LAB-005 (Lab)
LAB-005 (Lab)",2,1,3,5,4.25,TBA,IT-4B
IT 126,Cyber Security Principle,"14:30-16:00
14:30-16:00",TF,"LEC-010 (Non-lab)
LEC-010 (Non-lab)",3,0,3,3,3.0,TBA,IT-4B
IT 127,Global Professional Practice,"14:30-16:00
14:30-16:00",MW,"LEC-007 (Non-lab)
LEC-007 (Non-lab)",3,0,3,3,3.0,TBA,IT-4B
ITELECT 003,IT Elective 3*,15:00-17:00,TH,LEC-010 (Non-lab),2,1,3,5,4.25,TBA,IT-4B
ITELECT 003,IT Elective 3*,"13:00-14:30
13:00-14:30",TF,"LAB-004 (Lab)
LAB-004 (Lab)",2,1,3,5,4.25,TBA,IT-4B
ITELECT 004,IT Elective 4*,"13:00-14:30
13:00-14:30",MW,"LEC-007 (Non-lab)
LEC-007 (Non-lab)",3,0,3,3,3.0,TBA,IT-4B
